actor_start_name,actor_start_url,actor_end_name,actor_end_url,distance
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,1.0
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,2.0
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,3.0
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,1.0
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,3.0
Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,3.0
Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,-1.0
Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,Bradley Cooper,https://www.imdb.com/name/nm0177896/fullcredits,3.0
Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,Chris Evans,https://www.imdb.com/name/nm0262635/fullcredits,1.0
Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,1.0
Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,3.0
Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,-1.0
Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,1.0
Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,3.0
Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,-1.0
Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,-1.0
Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,Bradley Cooper,https://www.imdb.com/name/nm0177896/fullcredits,3.0
Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,Chris Evans,https://www.imdb.com/name/nm0262635/fullcredits,2.0
Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,2.0
Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,3.0
Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,3.0
Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,3.0
Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,3.0
